Periodo,General,Subyacente,Mercancias,Servicios,Nosubyacente,Agropecuarios,Energeticos
2012/12,3.57,2.9,5,1.15,5.74,9.18,3.84
2013/01,3.25,2.88,4.37,1.62,4.47,5.51,3.89
2013/02,3.55,2.96,3.86,2.21,5.47,7.48,4.36
2013/03,4.25,3.02,3.81,2.35,8.29,14.29,5.02
2013/04,4.65,2.95,3.63,2.37,10.32,17.25,6.47
2013/05,4.63,2.88,3.49,2.36,10.56,15.3,7.75
2013/06,4.09,2.79,3.14,2.49,8.39,8.99,8.06
2013/07,3.47,2.5,2.64,2.38,6.6,4.22,8.12
2013/08,3.46,2.37,2.51,2.24,7.01,5.19,8.16
2013/09,3.39,2.52,2.59,2.45,6.2,2.33,8.66
2013/10,3.36,2.48,2.41,2.54,6.18,1.67,9.07
2013/11,3.62,2.56,1.99,3.06,7.02,5.53,8.01
2013/12,3.97,2.78,1.89,3.54,7.84,6.67,8.65
2014/01,4.48,3.21,2.93,3.47,8.58,6.21,10.13
2014/02,4.23,2.98,2.91,3.05,8.28,5.43,10.12
2014/03,3.76,2.89,2.88,2.9,6.54,1.49,9.73
2014/04,3.5,3.11,2.97,3.23,4.75,-1.13,8.52
2014/05,3.51,3,3.08,2.94,5.19,0.67,8.14
2014/06,3.75,3.09,3.24,2.96,5.96,3.37,7.59
2014/07,4.07,3.25,3.37,3.15,6.83,5.78,7.47
2014/08,4.15,3.37,3.56,3.22,6.72,6.22,7.03
2014/09,4.22,3.34,3.46,3.24,7.11,7.57,6.82
2014/10,4.3,3.32,3.53,3.14,7.51,8.46,6.93
2014/11,4.17,3.34,3.68,3.06,6.78,7.04,6.62
2014/12,4.08,3.24,3.5,3.03,6.7,8.61,5.55
2015/01,3.07,2.34,2.43,2.26,5.34,8.5,3.49
2015/02,3,2.4,2.64,2.2,4.88,8.32,2.9
2015/03,3.14,2.45,2.6,2.32,5.29,8.34,3.52
2015/04,3.06,2.31,2.65,2.03,5.46,9.86,2.89
2015/05,2.88,2.33,2.44,2.23,4.64,7.5,2.9
2015/06,2.87,2.33,2.48,2.2,4.63,7.67,2.8
2015/07,2.74,2.31,2.47,2.18,4.12,6.94,2.42
2015/08,2.59,2.3,2.36,2.25,3.51,5.14,2.51
2015/09,2.52,2.38,2.54,2.24,2.96,3.98,2.33
2015/10,2.48,2.47,2.73,2.25,2.52,3.91,1.68
2015/11,2.21,2.34,2.79,1.95,1.84,2.7,1.33
2015/12,2.13,2.41,2.82,2.07,1.28,1.72,1
2016/01,2.61,2.64,2.86,2.46,2.52,5.27,0.84
2016/02,2.87,2.66,3.02,2.36,3.49,8.08,0.71
2016/03,2.6,2.76,3.23,2.37,2.12,6.21,-0.37
2016/04,2.54,2.83,3.37,2.37,1.66,4.46,-0.09
2016/05,2.6,2.93,3.55,2.41,1.55,5.1,-0.71
2016/06,2.54,2.97,3.61,2.44,1.16,3.87,-0.56
